ccode,leader,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,numentry,numexit,yrbegin,yrend,country,region,end_gdppc,begin_gdppc,begin_pop,begin_GDP,age,Region_GDP,Region_begin_gdppc,World_GDP,World_begin_gdppc,Region_end_gdppc,World_end_gdppc,tenure,growth_rate,growth_rate_region,growth_rate_world,fties_range
2,Grant,Regular,Regular,Regular,0,OK,1,1822,1885,0,1.0,1869,1877,United States,Western Offshoots,5098.689600000001,4943.1320000000005,39385.0,194685253.82000002,47,203316253.82000002,4942.658413030267,826379035.034994,908.8189068986802,4976.53598102087,1043.4253032916843,8.0,0.0034966045369166426,0.0007615687564519222,0.016456816811753174,1.0
2,Hayes,Regular,Regular,Regular,0,OK,1,1822,1893,0,1.0,1877,1881,United States,Western Offshoots,6317.4384,5098.689600000001,47325.0,241295485.32000002,55,268504022.32000005,4976.53598102087,1017661045.702806,1043.4253032916843,6113.4296317277385,1170.1347306336966,4.0,0.04780635400907714,0.04569016098919674,0.024287206174180963,1.0
2,Garfield,Regular,Irregular,Assassination by Unsupported Individual,0,Death,1,1831,1881,0,3.0,1881,1882,United States,Western Offshoots,6557.845600000001,6317.4384,51743.0,326883215.1312,50,360704575.1312,6113.4296317277385,1168068272.6993976,1170.1347306336966,6309.686307666341,1202.1906162047615,0.5448323066392882,0.03805453805453807,0.03210254926630074,0.027395038136937222,1.0
2,Arthur,Regular,Regular,Regular,0,OK,1,1829,1886,0,1.0,1881,1885,United States,Western Offshoots,6424.1432,6317.4384,51743.0,326883215.1312,52,360704575.1312,6113.4296317277385,1168068272.6993976,1170.1347306336966,6218.364842426206,1526.9972964186393,3.455167693360712,0.004222629222629226,0.0042911760263776855,0.07624390517656049,1.0
2,Cleveland,Regular,Regular,Regular,0,OK,1,1837,1908,0,1.0,1885,1889,United States,Western Offshoots,6705.689600000001,6424.1432,56879.0,365398841.07280004,48,403006007.07280004,6218.364842426206,1569887596.480446,1526.9972964186393,6518.806236392239,1620.019647377347,4.0,0.008765259155493288,0.009663035269857545,0.012183695567356745,1.0
2,Harrison,Regular,Regular,Regular,0,OK,1,1833,1901,0,1.0,1889,1893,United States,Western Offshoots,6834.2496,6705.689600000001,62016.0,415860046.2336,56,459960449.2336,6518.806236392239,1714730856.0219688,1620.019647377347,6579.628577422651,1683.0577736939601,4.0,0.0038343558282208255,0.0018660576438324305,0.007782390345532653,1.0
2,Cleveland,Regular,Regular,Regular,1,OK,1,1837,1908,0,1.0,1893,1897,United States,Western Offshoots,7406.341600000001,6834.2496,67231.0,459473434.85760003,56,502302004.85760003,6579.628577422651,1828684347.56283,1683.0577736939601,7092.209624724083,1849.241128186834,4.0,0.01674191121143718,0.015580850537986413,0.019747789658834593,1.0
2,McKinley,Regular,Irregular,Assassination by Unsupported Individual,0,Death,1,1843,1901,0,3.0,1897,1901,United States,Western Offshoots,8770.3632,7406.341600000001,72471.0,536744982.09360003,54,582199488.0936,7092.209624724083,2070110790.055213,1849.241128186834,8395.956861097418,1979.5661142551876,4.528405201916495,0.03683388300642245,0.0367656148185004,0.014094969453349338,1.0
2,"Roosevelt, T.",Regular,Regular,Regular,0,OK,1,1858,1919,0,1.0,1901,1909,United States,Western Offshoots,9798.118165962505,8770.3632,77888.0,683106048.9216,43,739205229.9216,8395.956861097418,2383409478.9599314,1979.5661142551876,9451.026544375254,2275.420707583311,7.468856947296373,0.01464812434966356,0.01570800238634043,0.018681782790533286,1.0
2,Taft,Regular,Regular,Regular,0,OK,1,1857,1930,0,1.0,1909,1913,United States,Western Offshoots,10107.969407089222,9798.118165962505,90845.0,890110044.7868638,52,974778877.7868638,9451.026544375254,2939559126.60919,2275.420707583311,9794.309942894142,2587.435191482245,4.0,0.006324709212083235,0.007264467979368705,0.027424773173513016,1.0
2,Wilson,Regular,Regular,Regular,0,OK,1,1856,1924,0,1.0,1913,1921,United States,Western Offshoots,9674.880487572922,10107.969407089222,97606.0,986598461.9483505,57,1091095921.9483504,9794.309942894142,4396657850.163141,2587.435191482245,9265.706685330448,2111.637150659708,8.0,-0.004760698130290835,-0.005996716014431093,-0.020431989622123323,1.0
2,Harding,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,1,1865,1923,0,2.0,1921,1923,United States,Western Offshoots,11071.242977955602,9674.880487572922,108964.0,1054213677.4478959,56,1155693063.447896,9265.706685330448,3494210458.682645,2111.637150659708,10577.37520839613,2298.8897337300978,2.414784394250513,0.04810955174678947,0.04718720933764383,0.02955883195682067,1.0
2,Coolidge,Regular,Regular,Regular,0,OK,1,1872,1933,0,1.0,1923,1929,United States,Western Offshoots,11954.235345750252,11071.242977955602,112387.0,1244263784.5634964,51,1360948558.5634964,10577.37520839613,3902172216.269208,2298.8897337300978,11469.714221506225,3135.8194675953637,5.585215605749487,0.013292581052142816,0.014060498556733489,0.060676372133436574,1.0
2,Hoover,Regular,Regular,Regular,0,OK,1,1874,1964,0,1.0,1929,1933,United States,Western Offshoots,8048.224515824326,11954.235345750252,122245.0,1461345499.8412397,55,1610542861.8412397,11469.714221506225,5654440675.939672,3135.8194675953637,7824.001207453111,2687.9688541781056,4.0,-0.06534940490885548,-0.06357112206365594,-0.028563545704414085,1.0
2,"Roosevelt, F.",Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,1,1882,1945,0,2.0,1933,1945,United States,Western Offshoots,16477.551766472516,8048.224515824326,126180.0,1015524969.4067135,51,1136592655.4067135,7824.001207453111,5044728874.113239,2687.9688541781056,15781.00574136927,2985.306220417919,12.106776180698152,0.08056556911856813,0.07823072308023704,0.008509066263851412,1.0
2,Truman,Regular,Regular,Regular,0,OK,1,1884,1972,0,1.0,1945,1953,United States,Western Offshoots,16917.0,16477.551766472516,140474.0,2314667606.84346,61,2555812784.84346,15781.00574136927,5516514526.341848,2985.306220417919,16291.49787424018,3612.3592262254265,7.775496235455168,0.003333688764535131,0.0040435646279238235,0.026255807591814007,1.0
2,Eisenhower,Regular,Regular,Regular,0,OK,1,1890,1969,0,1.0,1953,1961,United States,Western Offshoots,18175.0,16917.0,160184.0,2709832728.0,63,3034661133.164,16291.49787424018,10381252161.518972,3612.3592262254265,17575.155917381016,4382.617763622689,8.0,0.008262562970844576,0.008754791766913886,0.023692073953136897,1.0
2,Kennedy,Regular,Irregular,Assassination by Unsupported Individual,0,Death,1,1917,1963,0,3.0,1961,1963,United States,Western Offshoots,19514.0,18175.0,183691.0,3338583925.0,44,3784937088.512,17575.155917381016,14545646569.21639,4382.617763622689,18879.619879587808,4641.996896446171,2.836413415468857,0.02455754241173776,0.024740680696071642,0.01972786941603884,1.0
