obsid,leadid,ccode,idacr,leader,startdate,eindate,enddate,eoutdate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,deathdate,dbpediauri,numentry,numexit,numexitcode,numposttenurefate,fties,ftcur,yrbegin,yrend,age,tenure,Country,Polity datasets IV category
USA-1869,81dcc176-1e42-11e4-b4cd-db5882bf8def,2,USA,Grant,1869-03-04,1869-03-04,1877-03-04,1877-03-04,Regular,Regular,Regular,0,OK,M,1822,1885,,1885-07-23,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Ulysses-5FS.-5FGrant&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=x7yRI4mbwG8b0j8c_AwqAahtkPcCfIY2uH8tdRaReBw&e=,0,1.0,0,0.0,,,1869,1877,47,8.000164274420419, United States,Democracy
USA-1877,81dcc177-1e42-11e4-b4cd-db5882bf8def,2,USA,Hayes,1877-03-04,1877-03-04,1881-03-04,1881-03-04,Regular,Regular,Regular,0,OK,M,1822,1893,,1893-01-17,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Rutherford-5FB.-5FHayes&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=8oshcxB52W-Pg-2a6AvRVJEYMU-S-RG55-369eJ-PyY&e=,0,1.0,0,0.0,,,1877,1881,55,4.000082137210209, United States,Democracy
USA-1881-2,81dcf24b-1e42-11e4-b4cd-db5882bf8def,2,USA,Arthur,1881-09-19,1881-09-19,1885-03-04,1885-03-04,Regular,Regular,Regular,0,OK,M,1829,1886,,1886-11-18,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Chester-5FA.-5FArthur&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=XiglK4IJ3ZCC1kR4Hmb8eVB-V7A0tQprCtTKzOl42YM&e=,0,1.0,0,0.0,,,1881,1885,52,3.455238642819497, United States,Democracy
USA-1885,34fb1558-3bbd-11e5-afeb-eb6f07f9fec7,2,USA,Cleveland,1885-03-04,1885-03-04,1889-03-04,1889-03-04,Regular,Regular,Regular,0,OK,M,1837,1908,,1908-06-24,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Grover-5FCleveland&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=BH6RahZV58hS1fIGz1muHnQkbAirSz4Yy2wc6chejsQ&e=,0,1.0,0,0.0,,,1885,1889,48,4.000082137210209, United States,Democracy
USA-1889,81dcf24d-1e42-11e4-b4cd-db5882bf8def,2,USA,Harrison,1889-03-04,1889-03-04,1893-03-04,1893-03-04,Regular,Regular,Regular,0,OK,M,1833,1901,,1901-03-13,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Benjamin-5FHarrison&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=MA-TUrYNLJuZ9PTyDnsCkyBUtUyUkXWBHX7_p3f3pnA&e=,0,1.0,0,0.0,,,1889,1893,56,4.000082137210209, United States,Democracy
USA-1893,34fb1558-3bbd-11e5-afeb-eb6f07f9fec7,2,USA,Cleveland,1893-03-04,1893-03-04,1897-03-04,1897-03-04,Regular,Regular,Regular,1,OK,M,1837,1908,,1908-06-24,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Grover-5FCleveland&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=BH6RahZV58hS1fIGz1muHnQkbAirSz4Yy2wc6chejsQ&e=,0,1.0,0,0.0,,,1893,1897,56,4.000082137210209, United States,Democracy
USA-1897,81dcf24e-1e42-11e4-b4cd-db5882bf8def,2,USA,McKinley,1897-03-04,1897-03-04,1901-09-14,1901-09-14,Regular,Irregular,Assassination by Unsupported Individual,0,Death,M,1843,1901,,1901-09-14,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_William-5FMcKinley&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=c1fTbGMfG49MP3oJebg3Hp83_F7aiBUUfKgnhRd8AWs&e=,0,3.0,11,3.0,,,1897,1901,54,4.528498189558992, United States,Democracy
USA-1901,81dd231e-1e42-11e4-b4cd-db5882bf8def,2,USA,"Roosevelt, T.",1901-09-14,1901-09-14,1909-03-04,1909-03-04,Regular,Regular,Regular,0,OK,M,1858,1919,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Theodore-5FRoosevelt&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=mdUxrnAfyEPLl3hgYW-m-YrEL1hVsBHltrXf6_VHzrA&e=,0,1.0,0,0.0,"Uncle (distant) of Roosevelt, F.%81dd53f3-1e42-11e4-b4cd-db5882bf8def",0.0,1901,1909,43,7.469010315064649, United States,Democracy
USA-1909,81dd231f-1e42-11e4-b4cd-db5882bf8def,2,USA,Taft,1909-03-04,1909-03-04,1913-03-04,1913-03-04,Regular,Regular,Regular,0,OK,M,1857,1930,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_William-5FHoward-5FTaft&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=bhEfrjiKenGUoUgvh3M4oCxkX9bJoHnDemF4c6OtEtE&e=,0,1.0,0,0.0,,,1909,1913,52,4.000082137210209, United States,Democracy
USA-1913,81dd2320-1e42-11e4-b4cd-db5882bf8def,2,USA,Wilson,1913-03-04,1913-03-04,1921-03-04,1921-03-04,Regular,Regular,Regular,0,OK,M,1856,1924,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Woodrow-5FWilson&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=ClslkAGMxFPwxEqNwig9hoUm-6paj7k9nJQgfZTGBe0&e=,0,1.0,0,0.0,,,1913,1921,57,8.000164274420419, United States,Democracy
USA-1921,81dd2321-1e42-11e4-b4cd-db5882bf8def,2,USA,Harding,1921-03-04,1921-03-04,1923-08-03,1923-08-03,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1865,1923,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Warren-5FG.-5FHarding&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=n19WCVJ00e6jAF9KgkqB1QA165ud9DQdOVE8YT4d3LE&e=,0,2.0,0,-777.0,,,1921,1923,56,2.414833980163864, United States,Democracy
USA-1923,81dd2322-1e42-11e4-b4cd-db5882bf8def,2,USA,Coolidge,1923-08-03,1923-08-03,1929-03-04,1929-03-04,Regular,Regular,Regular,0,OK,M,1872,1933,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Calvin-5FCoolidge&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=NOK4weNtqbdh5IqnE0L5KCW3Toiiym3Zad3PQTU1A-8&e=,0,1.0,0,0.0,,,1923,1929,51,5.585330294256556, United States,Democracy
USA-1929,81dd53f2-1e42-11e4-b4cd-db5882bf8def,2,USA,Hoover,1929-03-04,1929-03-04,1933-03-04,1933-03-04,Regular,Regular,Regular,0,OK,M,1874,1964,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Herbert-5FHoover&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=W0eBFvC2m3N346qhf_r9iGv5N_TNz7Zg6JxS7NQ5y7k&e=,0,1.0,0,0.0,,,1929,1933,55,4.000082137210209, United States,Democracy
USA-1933,81dd53f3-1e42-11e4-b4cd-db5882bf8def,2,USA,"Roosevelt, F.",1933-03-04,1933-03-04,1945-04-12,1945-04-12,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1882,1945,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Franklin-5FD.-5FRoosevelt&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=leTWvRisdM5Al2qrBj_GjPmFtyEZBnwk2iFJ1n4BAI8&e=,0,2.0,0,-777.0,"Nephew (distant) of Roosevelt, T.%81dd231e-1e42-11e4-b4cd-db5882bf8def",1.0,1933,1945,51,12.10702478490318, United States,Democracy
USA-1945,81dd53f4-1e42-11e4-b4cd-db5882bf8def,2,USA,Truman,1945-04-12,1945-04-12,1953-01-20,1953-01-20,Regular,Regular,Regular,0,OK,M,1884,1972,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Harry-5FS.-5FTruman&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=8lvMz1dVajkRMhTCrwHn4rz8eECIgC0MEzNUFYGVA4s&e=,0,1.0,0,0.0,,,1945,1953,61,7.775655899847361, United States,Democracy
USA-1953,81dd53f5-1e42-11e4-b4cd-db5882bf8def,2,USA,Eisenhower,1953-01-20,1953-01-20,1961-01-20,1961-01-20,Regular,Regular,Regular,0,OK,M,1890,1969,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Dwight-5FD.-5FEisenhower&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=rbOQoIR9XqJmFi2S0wTaEXDdPmKH7drhnWtGndAuYug&e=,0,1.0,0,0.0,,,1953,1961,63,8.000164274420419, United States,Democracy
USA-1961,81dd53f6-1e42-11e4-b4cd-db5882bf8def,2,USA,Kennedy,1961-01-20,1961-01-20,1963-11-22,1963-11-22,Regular,Irregular,Assassination by Unsupported Individual,0,Death,M,1917,1963,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_John-5FF.-5FKennedy&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=fz5b5YwDtYUHk4b8O09aRvlQy8YHM2GtYr6PPuqXASk&e=,0,3.0,11,3.0,,,1961,1963,44,2.836471659240094, United States,Democracy
USA-1963,81dd84c6-1e42-11e4-b4cd-db5882bf8def,2,USA,Johnson,1963-11-22,1963-11-22,1969-01-20,1969-01-20,Regular,Regular,Regular,0,OK,M,1908,1973,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Lyndon-5FB.-5FJohnson&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=qMRnItod8XC9Z7Sa982pUDwLoBi4BVk8uy8zud2q9ho&e=,0,1.0,0,0.0,,,1963,1969,55,5.163692615180326, United States,Democracy
USA-1969,81dd84c7-1e42-11e4-b4cd-db5882bf8def,2,USA,Nixon,1969-01-20,1969-01-20,1974-08-09,1974-08-09,Regular,Regular,Regular,0,OK,M,1913,1994,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Richard-5FNixon&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=Oup_2LmC4QJUy7zu8ke76SIe_xdKi4GnqB2hGVHCmBc&e=,0,1.0,0,0.0,,,1969,1974,56,5.549737503165705, United States,Democracy
USA-1974,81dd84c8-1e42-11e4-b4cd-db5882bf8def,2,USA,Ford,1974-08-09,1974-08-09,1977-01-20,1977-01-20,Regular,Regular,Regular,0,OK,M,1913,2006,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Gerald-5FFord&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=rKHx6vASUC4iuo25L7XbRY9u7foC16KAVPOeee6VzWE&e=,0,1.0,0,0.0,,,1974,1977,61,2.450426771254715, United States,Democracy
USA-1981,81dd84ca-1e42-11e4-b4cd-db5882bf8def,2,USA,Reagan,1981-01-20,1981-01-20,1989-01-20,1989-01-20,Regular,Regular,Regular,0,OK,M,1911,2004,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Ronald-5FReagan&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=lkRsyOx2c3jHBdhtoz88j8z6MALbfv0cigW48DI3G54&e=,0,1.0,0,0.0,,,1981,1989,70,8.000164274420419, United States,Democracy
