idacr,yrend,gdppc,pop
AFG,1950,1156.0,8150.0
AFG,1951,1170.0,8284.0
AFG,1952,1189.0,8425.0
AFG,1953,1240.0,8573.0
AFG,1954,1245.0,8728.0
AFG,1955,1246.0,8891.0
AFG,1956,1278.0,9062.0
AFG,1957,1253.0,9241.0
AFG,1958,1298.0,9429.0
AFG,1959,1307.0,9625.0
AFG,1960,1326.0,9829.0
AFG,1961,1309.0,10043.0
AFG,1962,1302.0,10267.0
AFG,1963,1298.0,10501.0
AFG,1964,1291.0,10744.0
AFG,1965,1290.0,10998.0
AFG,1966,1272.0,11262.0
AFG,1967,1277.0,11538.0
AFG,1968,1290.0,11825.0
AFG,1969,1278.0,12123.0
AFG,1970,1272.0,12431.0
AFG,1971,1237.0,12749.0
AFG,1972,1007.0,13079.0
AFG,1973,1011.0,13421.0
AFG,1974,1039.0,13772.0
AFG,1975,1074.0,14132.0
AFG,1976,1105.0,14501.0
AFG,1977,1022.0,14880.0
AFG,1978,1070.0,15269.0
AFG,1979,1023.0,15556.0
AFG,1980,1019.0,15044.0
AFG,1981,1144.0,13676.0
AFG,1982,1270.0,12583.0
AFG,1983,1347.0,12439.0
AFG,1984,1337.0,12769.0
AFG,1985,1304.0,13120.0
AFG,1986,1344.0,13126.0
AFG,1987,1211.0,13056.0
AFG,1988,1101.0,13169.0
AFG,1989,999.0,13503.0
AFG,1990,963.0,13568.0
AFG,1991,881.1704,13672.0
AFG,1992,843.8753,15023.0
AFG,1993,578.4027,17003.0
AFG,1994,428.4246,18486.0
AFG,1995,632.9404,19445.0
AFG,1996,600.1753,20111.0
AFG,1997,570.5981,20769.0
AFG,1998,545.0388,21452.0
AFG,1999,518.6579,22206.0
AFG,2000,502.3727,22461.0
AFG,2001,489.682,22507.0
AFG,2002,796.8166,23600.0
AFG,2003,842.8052,25005.0
AFG,2004,869.0393,25698.0
AFG,2005,964.4081,26335.0
AFG,2006,1057.0966,27154.0
AFG,2007,1259.9967,27387.0
AFG,2008,1319.6074,27706.0
AFG,2009,1557.3206,28484.0
AFG,2010,1627.6716,29121.0
AFG,2011,1792.0,29758.0
AFG,2012,1945.0,30420.0
AFG,2013,2025.0,31108.0
AFG,2014,2022.0,31823.0
AFG,2015,1928.0,32564.0
AFG,2016,1929.0,33332.0
